# Sensor Calle Hernando de Zafra, Centro, Spain (Citizen Science project sensor.community/47617)
# https://aqicn.org/station/@128242/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-03-25T00:00:00.000Z,1.05,8.75,2.97,2.39,3.75,1.395,173
2021-03-26T00:00:00.000Z,1.27,9.35,3.22,2.17,5.09,1.885,175
2021-03-27T00:00:00.000Z,1.65,20.39,7.84,5.17,12.73,4.689,168
2021-03-28T00:00:00.000Z,3.4,9.9,6.2,5.18,7.32,1.417,119
2021-03-29T00:00:00.000Z,3.25,13.4,6.55,4.78,7.82,2.101,127
2021-03-30T00:00:00.000Z,5.05,14.35,8.8,6.85,10.67,2.092,140
2021-03-31T00:00:00.000Z,4.47,21.6,7.63,6.15,8.69,2.376,130
2021-04-01T00:00:00.000Z,4.57,13.85,8.28,6.72,9.57,2.058,122
2021-04-02T00:00:00.000Z,1.25,12.65,3.67,2.25,5.23,2.258,133
2021-04-03T00:00:00.000Z,3.2,12.68,4.93,4.34,5.68,1.119,142
2021-04-04T00:00:00.000Z,4.5,13.73,6.67,5.9,8.44,2.253,138
2021-04-05T00:00:00.000Z,3.83,12.2,6.88,5.49,8.11,1.84,121
2021-04-06T00:00:00.000Z,2.7,11.68,6.18,4.05,7.55,2.112,142
2021-04-07T00:00:00.000Z,3.45,10.38,7.3,5.92,8.16,1.545,113
2021-04-08T00:00:00.000Z,2.54,14.25,4.97,4.22,6.25,1.639,124
2021-04-09T00:00:00.000Z,1.8,5.82,3.04,2.45,3.88,0.893,126
2021-04-10T00:00:00.000Z,1.23,7.28,4.13,3.67,4.9,1.077,119
2021-04-11T00:00:00.000Z,0.5,9.13,2.85,2.15,4.26,1.675,105
2021-04-12T00:00:00.000Z,0.45,8.63,4.07,1.1,5.65,2.326,92
2021-04-13T00:00:00.000Z,2.1,6.45,3.84,3.3,4.63,0.994,96
2021-04-14T00:00:00.000Z,1.85,28.63,3.84,3.05,5,6.567,94
2021-04-15T00:00:00.000Z,1.67,14.25,4.25,3.3,5.15,2.81,91
2021-04-16T00:00:00.000Z,0.8,4.82,3.04,2.45,3.55,0.773,98
2021-04-17T00:00:00.000Z,1.38,13.43,3.1,2.27,4.43,2.234,102
2021-04-18T00:00:00.000Z,2.27,11.45,4.72,3.71,5.59,1.694,97
2021-04-19T00:00:00.000Z,1.65,18,5.28,3.85,6.6,2.581,95
2021-04-20T00:00:00.000Z,0.6,14.7,2.52,1.3,3.48,2.734,97
2021-04-21T00:00:00.000Z,0.7,4.7,1.8,1.29,2.42,0.799,97
2021-04-22T00:00:00.000Z,0.3,10.4,2.35,1.09,3.9,1.946,89
2021-04-23T00:00:00.000Z,3.08,8.18,5.09,3.9,5.88,1.205,87
2021-04-24T00:00:00.000Z,3.85,17.14,7.3,5.3,9.89,2.745,97
2021-04-25T00:00:00.000Z,3.72,12.9,7.78,5.95,9.44,2.078,111
2021-04-26T00:00:00.000Z,0.7,13.18,3.61,2.9,9.36,3.534,96
2021-04-27T00:00:00.000Z,0.8,7.53,3.53,2.7,4.34,1.366,94
2021-04-28T00:00:00.000Z,0.8,4.34,2.22,1.52,2.97,0.847,95
2021-04-29T00:00:00.000Z,0.77,5.05,2.47,1.95,3.25,0.872,87
2021-04-30T00:00:00.000Z,0.85,12.35,2.04,1.65,2.65,1.289,83
2021-05-01T00:00:00.000Z,0.55,4.5,1.04,0.9,1.32,0.453,104
2021-05-02T00:00:00.000Z,0.7,3,1.38,1.1,1.64,0.423,100
2021-05-03T00:00:00.000Z,0.75,7.88,3.81,2.63,5.09,1.718,90
2021-05-04T00:00:00.000Z,1.2,6.2,3.53,2.31,4.05,1.155,93
2021-05-05T00:00:00.000Z,1.9,8.38,3.26,2.7,4.13,1.399,84
2021-05-06T00:00:00.000Z,1.1,9.69,2.9,2.02,4.4,2.206,83
2021-05-07T00:00:00.000Z,1.6,34.47,7.74,4.18,14.02,8.15,88
2021-05-08T00:00:00.000Z,1.5,6.28,2.5,2.12,2.82,0.93,96
