date, pm25, pm10, o3, no2, so2, co
2022/9/16, 31, 26, , 2, , 
2022/9/17, 33, 29, , 3, , 
2022/9/18, 40, 27, 1, 4, , 2
2022/9/19, 50, 34, , 4, , 
2022/9/20, 56, 34, , 5, , 
2022/9/21, 51, 34, , 7, , 
2022/9/22, 52, 32, 1, 3, 1, 2
2022/9/23, 47, 21, 1, 3, , 3
2022/9/24, 33, , , , , 
2022/9/26, 10, 33, , 14, 3, 5
2022/9/27, 46, 45, , 17, 3, 6
2022/9/28, 66, 49, , 11, 3, 4
2022/9/29, 71, 48, 1, 6, , 3
2022/9/30, 71, 43, 1, 6, , 4
2022/4/1, 193, 138, 1, 4, 3, 4
2022/4/2, 168, 115, 1, 4, 2, 4
2022/4/3, 150, 89, 1, 4, 2, 4
2022/4/4, 124, 72, 1, 3, 4, 4
2022/4/5, 96, 68, 1, 3, 2, 4
2022/4/6, 85, 62, 1, 5, 3, 4
2022/4/7, 77, 63, 1, 4, 5, 5
2022/4/8, 88, 54, 1, 3, 5, 4
2022/4/9, 91, 54, , 3, , 
2022/4/10, 88, 56, , 5, 6, 
2022/4/11, 95, 72, 1, 8, 6, 1
2022/4/12, 110, 76, 1, 6, 6, 1
2022/4/13, 117, 57, 1, 4, 5, 
2022/4/14, 94, 59, 1, 3, 4, 
2022/4/15, 91, 66, 1, 4, 3, 
2022/4/16, 111, 61, 1, 3, 2, 
2022/4/17, 86, 58, 1, 4, 2, 
2022/4/18, 84, 65, 1, 4, 6, 
2022/4/19, 105, 63, , 4, 8, 
2022/4/20, 104, 82, , 9, 9, 2
2022/4/21, 137, 79, , 7, 7, 2
2022/4/22, 141, 79, , 7, , 
2022/4/23, 141, 61, , 4, , 
2022/4/24, 96, 79, , 8, 8, 5
2022/4/25, 129, 57, 2, 5, 8, 3
2022/4/26, 97, 63, 1, 6, 10, 1
2022/4/27, 101, 64, , 6, 9, 
2022/4/28, 94, 56, , 4, 9, 
2022/4/29, 82, 50, , 5, 12, 
2022/4/30, 82, 42, , 3, 10, 
2022/5/1, 64, 49, 1, 3, 10, 
2022/5/2, 75, 63, , 3, 5, 
2022/5/3, 97, 72, , 4, 7, 
2022/5/4, 115, 71, , 3, 6, 
2022/5/5, 111, 106, , 3, 5, 
2022/5/6, 156, 117, 36, 3, 3, 
2022/5/7, 166, 83, 29, 4, 6, 
2022/5/8, 141, 71, 1, 3, 5, 
2022/5/9, 109, 68, 3, 4, 7, 1
2022/5/10, 116, 72, 32, 4, 8, 2
2022/5/11, 119, 70, 27, 3, 5, 1
2022/5/12, 118, 77, 18, 3, 5, 
2022/5/13, 125, 89, 1, 4, 4, 
2022/5/14, 149, 70, 3, 3, 6, 
2022/5/15, 116, 77, 7, 3, 5, 
2022/5/16, 123, 122, 1, 4, 7, 
2022/5/17, 166, 162, 1, 4, 7, 
2022/5/18, 177, 149, 4, 4, 6, 
2022/5/19, 167, 109, 1, 4, 3, 
2022/5/20, 158, 84, 1, 4, 3, 
2022/5/21, 137, 62, 1, 3, 6, 
2022/5/22, 109, 51, 1, 3, 4, 
2022/5/23, 70, 55, 1, 3, 3, 
2022/5/24, 76, 59, , 3, 4, 
2022/5/25, 80, 58, 35, 3, 4, 
2022/5/26, 80, 50, 38, 3, 4, 
2022/5/27, 64, 44, 1, 3, 4, 
2022/5/28, 56, 50, 1, 3, 4, 
2022/5/29, 65, 45, 1, 3, 3, 
2022/5/30, 65, , , 3, 3, 
2022/5/31, 81, , 1, 3, 3, 
2022/6/1, 94, , , 3, 3, 
2022/6/2, 106, , 1, 3, 3, 
2022/6/3, 104, , 1, 3, 3, 
2022/6/4, 75, , , 4, 3, 
2022/6/5, 65, , 1, 3, 4, 
2022/6/6, 74, 53, , 4, 4, 
2022/6/7, 69, 35, 1, 4, 8, 
2022/6/8, 55, , , , , 
2022/6/17, 47, 37, , 3, 18, 
2022/6/18, 78, , , , , 
2022/6/24, 42, 14, 1, 4, 13, 
2022/6/25, 13, 14, , 3, 13, 
2022/6/26, 25, , 1, 4, 14, 
2022/6/27, 14, , , , , 
2022/6/29, 53, 24, 1, 4, 11, 
